"N","stdev","correl","simnum","mean1NRNT","mean2NRNT","sd1NRNT","sd2NRNT","sddiffNRNT","corNRNT","mean1RNT","mean2RNT","sd1RNT","sd2RNT","sddiffRNT","corRNT","mean1NRT","mean2NRT","sd1NRT","sd2NRT","sddiffNRT","corNRT","mean1RT","mean2RT","sd1RT","sd2RT","sddiffRT","corRT"
20,5,0,1,3.62046702055328,5.06022765757315,2.09571077540622,2.12430931319557,3.14327943308968,-0.109560364517443,3.55,5.1,2.16369566884264,2.04939015319192,3.10305452230879,-0.0842721214364246,3.75884302714307,4.86541966770916,1.85367259384984,1.82239500747119,2.54689420073163,0.0400452446850639,3.75,4.95,1.80277563773199,1.8202082009311,2.50473236305325,0.0441078963800627
20,5,0,2,4.35352163693179,4.36040446792632,1.754303147702,2.64759011617533,3.25944587106622,-0.0577730789724957,4.35,4.4,1.84319516629483,2.60364117505102,3.20320563120594,-0.00877372326751225,4.29525203741748,4.16571569403482,1.64721474907949,2.06811591222273,2.68033274525052,-0.0284392068567859,4.25,4.25,1.65035881266054,2.09949868703034,2.67542421623975,-0.0037974531427434
20,5,0,3,3.50797125537883,5.06973548203315,1.99643780735761,2.33867023758414,2.77155199400468,0.189937702470201,3.55,5.1,2.11448637535903,2.42573917112203,2.78104486233426,0.255503441196709,3.47046652710421,4.73969658710394,1.70840392651496,1.75417907538736,2.21684974641795,0.180417221112106,3.5,4.75,1.79179416111044,1.80277563773199,2.2213082915966,0.236256955820756
20,5,0,4,3.99297283244944,4.97063915248156,2.51828528659917,2.22890080804444,3.1177173480154,0.141599486717453,4.05,4.9,2.60515682930283,2.17400915119364,3.26504614298014,0.0752724717415132,3.809449726353,4.77188715790394,1.94516561506239,1.95603800313175,2.54656473258731,0.147807601077772,3.8,4.75,1.93581208309397,1.97017231413103,2.68475226731296,0.055199987856004
20,5,0,5,4.57597266437199,5.05341898422407,1.67513839287963,1.82128430076955,2.92327670267328,-0.396994158311716,4.6,5.15,1.66701750693298,1.75544266422131,2.83725219182222,-0.374095878921139,4.57597266437199,5.03176604210357,1.67513839287963,1.79387214792069,2.91468011609504,-0.411199223167403,4.6,5.15,1.66701750693298,1.75544266422131,2.83725219182222,-0.374095878921139
20,5,0,6,3.86123547878597,3.89802320272212,2.32879560041488,1.67288161672268,2.37334691197888,0.332286914124513,3.9,4.05,2.38194966582552,1.70061908232205,2.51887610693842,0.274150616276689,3.88866220227538,3.94425300370269,2.01484334587443,1.57138058712702,2.13041038163671,0.314296964762637,3.9,4.1,2.04939015319192,1.58612404107756,2.23842049574906,0.262300803261159
20,5,0,7,3.79517273126319,4.32086367571263,2.00526918885965,1.56585803277811,2.63159404967828,-0.0720184898147447,3.85,4.3,2.15882521659107,1.59274671723509,2.70428509864194,-0.0168373943350392,3.9207132063123,4.30943329721915,1.7128818561156,1.54419967376321,2.44675253779271,-0.126289813489125,4,4.3,1.806421294919,1.59274671723509,2.51521684740574,-0.0914640947682543
20,5,0,8,3.63447103464213,4.60082765439832,2.00046809602607,1.50812098011678,2.56552111244465,-0.0506467287582588,3.65,4.7,2.0332758116684,1.45457535854428,2.58487503515517,-0.072962168896867,3.65239345993779,4.61002632063787,1.73783212669677,1.48419210627223,2.3406083114873,-0.0495411284254065,3.7,4.7,1.75018795983084,1.45457535854428,2.33959060746241,-0.0578873291843838
20,5,0,9,4.47999600092067,4.72297724564862,1.79994796133509,2.48174578838529,2.77623679017082,0.189319350924206,4.5,4.6,1.73205080756888,2.54227415805944,2.78907643646083,0.191242041629895,4.45176500222457,4.59797358842152,1.70602144546112,1.98888136537926,2.27312374376023,0.250372755262174,4.45,4.5,1.63755273117186,1.98679853559757,2.23547946111178,0.250743089290522
20,5,0,10,3.75462116840831,5.60824165385583,2.40250418793044,2.23530765148475,2.89658212952548,0.221442256069109,3.8,5.65,2.39736697671688,2.34576886733271,2.99605003120337,0.20215310363131,3.87944267130674,5.2932060040816,1.81181158389001,1.84832906292723,2.2670470314963,0.23283984080371,3.9,5.35,1.80350535872433,1.98082917247458,2.41650029675366,0.187105114697147
20,5,0.1,11,3.69336617699643,4.37394296697182,1.68146101127746,2.00438538241048,2.55542779757694,0.0466814601713665,3.7,4.4,1.75018795983084,1.95744193971837,2.49420380714547,0.0983224726925681,3.74575973161825,4.28095058802864,1.5701234507501,1.85407581711204,2.38251640457668,0.0389025103583574,3.75,4.35,1.65035881266054,1.87153188029148,2.41486623798678,0.063900176944947
20,5,0.1,12,3.92019192608954,4.95239132887341,2.55432008405921,1.93229536332476,3.46752139722443,-0.178838652216026,3.9,4.95,2.59351417761185,1.90497962414852,3.53143775700195,-0.214123086654251,3.7818702366084,4.76413450010161,2.09542873747572,1.59766774258939,2.78825880446101,-0.124114884994438,3.8,4.75,2.06728909698821,1.55173926187427,2.81864095657912,-0.196882756977737
20,5,0.1,13,3.92519245679533,5.47424479311636,1.92852248107995,1.76310032071871,3.00516001871751,-0.323992544681404,3.9,5.45,1.80350535872433,1.8202082009311,2.92853475128326,-0.306225436580385,3.98871512094261,5.26679532358784,1.4746615565601,1.4449081903331,2.33764553504701,-0.282107226584232,3.95,5.25,1.43178210632764,1.51744244666721,2.36420677695724,-0.284639460065356
20,5,0.1,14,3.99473324067641,5.30726278695111,1.66679211159481,2.54200805454819,3.01368811181311,0.0186080830307308,3.8,5.25,1.64156536333625,2.61322547217439,3.10305452230879,-0.0122690612976397,3.97497540946236,4.86244548873942,1.62621071644393,1.90787761629084,2.35800710493761,0.116734063693995,3.8,4.8,1.64156536333625,1.93581208309397,2.42790791466754,0.0861248277505167
20,5,0.1,15,4.0998973275355,5.94955139568052,1.74424509976038,1.95912074750483,2.86227289213825,-0.191979708524442,4,5.95,1.83532587096449,1.98613615900453,2.91050728079813,-0.15882427427842,4.03627184893535,5.57661232491583,1.60654110580337,1.40119723000846,2.34367550945497,-0.210673652743995,3.95,5.6,1.73129096949433,1.42902248518275,2.3902213066444,-0.136149875009835
20,5,0.1,16,4.32651783212123,5.25828848478012,2.35102350581868,2.35787747818307,3.52291819637242,-0.119425698166391,4.45,5.3,2.41650029675366,2.47301222675591,3.70312812291674,-0.147078690269252,4.41309837152765,4.80814279660956,1.82874174225236,1.44267945065346,2.40302459317459,-0.066123717489917,4.5,4.8,1.90567020949807,1.47255595908325,2.4516374764205,-0.037510844546104
20,5,0.1,17,4.24510696266331,4.95163965094034,2.5963867076697,1.8046479714213,3.2273317353478,-0.0445722108391327,4.2,4.95,2.60768096208106,1.95945749742385,3.35410196624968,-0.0597425957945151,4.22715284866716,4.84878206712572,2.07030745465661,1.65124239504012,2.6178371716773,0.0233580862134308,4.2,4.8,2.09259345512239,1.73508683234859,2.68328157299975,0.0260923278961526
20,5,0.1,18,4.52634009100124,5.41072311646685,2.17281825371232,2.41832560686149,2.97100995064039,0.165811264375042,4.55,5.4,2.16369566884264,2.47938871923154,3.1165939573093,0.103994762557287,4.46398302685494,5.08853156994962,1.60393641152087,1.96154576561907,2.53550034333831,-0.00134896106588313,4.5,5.1,1.5727950313141,2.07491280729932,2.70282503279342,-0.0806388681798844
20,5,0.1,19,4.22319820892344,4.25166740098204,1.68101919486417,2.27044430934169,2.8743546251794,-0.0368347693689459,4.25,4.25,1.68194749276577,2.29128784747792,2.84697438658916,-0.00341424217078198,4.15605181452242,4.17674432911753,1.53387415284236,1.97470251293888,2.58691560236261,-0.0726180867342136,4.2,4.15,1.57613785130482,1.9269556026896,2.54382637606794,-0.0450561251670408
20,5,0.1,20,3.73424177016005,5.19886890970477,2.25551656665048,1.95118656135076,2.68794725711944,0.189666973998192,3.6,5.2,2.25715237458734,1.93581208309397,2.72222818951488,0.163817854182801,3.83598925515666,4.96339873575731,2.00698247103628,1.50785126277716,2.07025229518647,0.333029677586405,3.75,5,1.99670781669807,1.555973210431,2.12441942533409,0.304931486345072
20,5,0.3,21,3.94742660144445,5.36733047276167,2.32605598354542,2.25510102807956,3.33234280646166,-0.0580013831421113,3.9,5.35,2.35975020979585,2.25423577900991,3.34781940027268,-0.0524393013200707,3.99919918158838,5.06591210323015,2.19262310627695,1.67515387413492,2.77271577900979,-0.0101029927901053,3.95,5.1,2.28208122923837,1.68272961207926,2.79614396135671,0.028781952865351
20,5,0.3,22,4.94538042807659,5.58272358063017,1.9916948358207,1.96295199068232,2.8793828989074,-0.0602129220448802,4.95,5.6,1.98613615900453,2.03650888067119,2.8704483420209,-0.0182170943797605,4.78262515172486,5.29864272196353,1.68283581515109,1.43771881358924,2.11014899220114,0.0922201272614648,4.8,5.3,1.73508683234859,1.49031964074119,2.1643037047318,0.10583982272333
20,5,0.3,23,4.20665345712623,4.43635223974674,2.05530154755259,1.73863523192063,2.1822830887807,0.347672210660327,4.3,4.4,2.02874085917453,1.90290636437502,2.42573917112203,0.239946860629123,4.17455345068341,4.35316440418314,1.64721601382246,1.55592473564596,1.74641474534054,0.406613995837434,4.3,4.3,1.59274671723509,1.68897352819616,1.97350876413186,0.277821071517421
20,5,0.3,24,4.4773430614749,4.04967352720849,1.6555864275354,2.29388282658365,2.8281300767985,0.000598399607894683,4.5,4.1,1.67017175290762,2.42573917112203,2.81724015754127,0.0909367028030905,4.41313236567546,4.13534662987778,1.53037277681867,2.0031618578719,2.46580483166448,0.0447720178985664,4.45,4.2,1.57195821559574,2.06728909698821,2.40339671911936,0.149001971384469
20,5,0.3,25,3.93596682270979,5.62019200246686,1.87263496191242,1.7756160833115,3.03161129069193,-0.380606220913408,3.95,5.6,1.95945749742385,1.84676103375328,3.0655127501044,-0.296708519379788,3.89231306792752,5.37841287310552,1.76746547919734,1.3788780823427,2.6196124249383,-0.376906084865923,3.9,5.35,1.86095617754337,1.42441123571146,2.66507628013672,-0.303784976868614
20,5,0.3,26,4.29928175061442,5.20177400154321,2.54212830016173,1.79686502365611,3.03217028857011,0.0544109707186972,4.25,5.15,2.63328891812421,1.8144159564879,3.12713085246221,0.046816609778324,4.20942972367441,5.02116428687765,2.0362463543752,1.39583107163746,2.52994734014458,-0.0538287112568402,4.15,5,2.08440323404692,1.48678388335006,2.66112362496905,-0.084915470509778
20,5,0.3,27,4.49329486584938,5.537700707436,2.2294983311722,2.39242753468803,2.94756043647306,0.188066408004381,4.55,5.6,2.18788530441227,2.43656358531091,2.91050728079813,0.211279748789713,4.39974694637426,5.09712396984985,2.05008022192581,1.76026838349154,2.58664724541916,0.0846054232163317,4.45,5.15,2.0384462607326,1.75544266422131,2.61775315470106,0.05368504822621
20,5,0.3,28,3.18525969036965,4.46427727703257,1.79349455158844,2.18676506295429,2.44007117019247,0.260663215030502,3.25,4.55,1.86024899295483,2.21181040398084,2.47301222675591,0.271823098551656,3.32874005693365,4.39409727346037,1.54215799369593,1.7917028474758,2.00863265373083,0.281179018745742,3.4,4.45,1.60262941837206,1.84889725312998,2.06410424053377,0.291302598949134
20,5,0.3,29,4.09504720556945,5.11326929823783,1.59755369016921,2.1149831906416,2.27920409073721,0.270889196666843,4.1,5,1.71372171173244,2.29415733870562,2.44734012434123,0.281126765115875,4.08340008321794,4.91881029383703,1.57415021601128,1.83940200567107,2.19104990974663,0.18315502364637,4.1,4.75,1.71372171173244,1.94327450183284,2.27746396354874,0.229160599679229
20,5,0.3,30,3.62944148407593,6.05547631978452,2.57129745834888,2.5669988947609,3.67208737591231,-0.0214507227118293,3.7,6,2.69697686503357,2.53397960362331,3.70064005843655,0,3.69781711470963,5.58301595814795,2.05974365927908,2.16138015918248,2.87464975612655,0.0730585266869804,3.75,5.6,2.12441942533409,2.18608036641406,2.90688837074973,0.0906629817950232
